Pizza Hut Mosilor,https://tazz.ro/bucuresti/locatie/pizza-hut-mosilor/2999/,11:00-21:30
Mondo MeatBalls - Lumea Chiftelutelor,https://tazz.ro/bucuresti/locatie/mondo-meatballs-lumea-chiftelutelor/3048/,10:00-20:00
Pizza Hut Delta,https://tazz.ro/bucuresti/locatie/pizza-hut-delta/3000/,11:00-21:30
Decathlon Baneasa,https://tazz.ro/bucuresti/locatie/decathlon-baneasa/1729/,09:30-21:30
Fior di latte,https://tazz.ro/bucuresti/locatie/fior-di-latte/1971/,08:00-22:00
City Grill Primaverii,https://tazz.ro/bucuresti/locatie/city-grill-primaverii/1195/,10:00-20:30
Pizza Hut Romana,https://tazz.ro/bucuresti/locatie/pizza-hut-romana/3001/,11:00-21:30
Sara Green Victoriei,https://tazz.ro/bucuresti/locatie/sara-green-victoriei/2176/,10:30-20:30
Taverna Sarbului,https://tazz.ro/bucuresti/locatie/taverna-sarbului/2121/,10:00-22:00
Taco Bell Mega Mall,https://tazz.ro/bucuresti/locatie/taco-bell-mega-mall/1785/,11:00-21:00
Pep&Pepper Park Lake,https://tazz.ro/bucuresti/locatie/pep-pepper-park-lake/2671/,10:00-21:00
Taco Bell Park Lake,https://tazz.ro/bucuresti/locatie/taco-bell-park-lake/1786/,11:00-21:00
King Rolls,https://tazz.ro/bucuresti/locatie/king-rolls/2124/,11:00-22:00
Taco Bell Cotroceni,https://tazz.ro/bucuresti/locatie/taco-bell-cotroceni/1784/,11:00-21:00
Mega Image Bucuresti,https://tazz.ro/bucuresti/locatie/mega-image-bucuresti/1497/,08:00-21:00
Paul Universitate,https://tazz.ro/bucuresti/locatie/paul-universitate/2098/,10:00-18:30
Alouette Bistro,https://tazz.ro/bucuresti/locatie/alouette-bistro/3027/,11:00-20:45
Paul Dorobanti,https://tazz.ro/bucuresti/locatie/paul-dorobanti/1935/,10:00-19:30
McDonald`s Prisma,https://tazz.ro/bucuresti/locatie/mcdonald-s-prisma/1882/,10:00-21:30
Paul ParkLake,https://tazz.ro/bucuresti/locatie/paul-parklake/2101/,10:00-19:00
Paul Cotroceni,https://tazz.ro/bucuresti/locatie/paul-cotroceni/2105/,10:00-19:30
Paul Mega Mall,https://tazz.ro/bucuresti/locatie/paul-mega-mall/2100/,10:00-21:00
Paul Promenada,https://tazz.ro/bucuresti/locatie/paul-promenada/2099/,10:00-21:00
Yummy by Kiddo Baneasa,https://tazz.ro/bucuresti/locatie/yummy-by-kiddo-baneasa/2337/,11:00-18:00
Paul Romana,https://tazz.ro/bucuresti/locatie/paul-romana/2102/,10:00-18:00
Pep&Pepper Baneasa,https://tazz.ro/bucuresti/locatie/pep-pepper-baneasa/2439/,10:00-21:30
McDonald`s Feeria,https://tazz.ro/bucuresti/locatie/mcdonald-s-feeria/1887/,10:00-19:30
McDonald`s Central,https://tazz.ro/bucuresti/locatie/mcdonald-s-central/1885/,10:00-21:30
Paul Baneasa,https://tazz.ro/bucuresti/locatie/paul-baneasa/2103/,10:00-19:30
McDonald`s Otopeni,https://tazz.ro/bucuresti/locatie/mcdonald-s-otopeni/1881/,10:00-21:30
Stradale,https://tazz.ro/bucuresti/locatie/stradale/3350/,11:00-17:00
McDonaldâ€™s Unirea,https://tazz.ro/bucuresti/locatie/mcdonald-s-unirea/1880/,10:00-21:30
McDonaldâ€™s Gara de Nord,https://tazz.ro/bucuresti/locatie/mcdonald-s-gara-de-nord/1545/,10:00-21:30
McDonald`s Pipera DT,https://tazz.ro/bucuresti/locatie/mcdonald-s-pipera-dt/1886/,10:00-21:30
McDonald`s Colentina,https://tazz.ro/bucuresti/locatie/mcdonald-s-colentina/1883/,10:00-21:30
Flori de Lux,https://tazz.ro/bucuresti/locatie/flori-de-lux/1909/,09:00-20:00
Fibrio,https://tazz.ro/bucuresti/locatie/fibrio/2083/,09:00-16:00
Divan,https://tazz.ro/bucuresti/locatie/divan/3119/,11:00-22:00
Bere ArtizanalÄƒ ZÄƒganu,https://tazz.ro/bucuresti/locatie/bere-artizanala-zaganu/1721/,09:00-16:30
Dristor Kebap Delivery - Sudului,https://tazz.ro/bucuresti/locatie/dristor-kebap-delivery-sudului/1764/,10:00-22:00
Fabio pizza-Drumul taberei,https://tazz.ro/bucuresti/locatie/fabio-pizza-drumul-taberei/2222/,10:00-21:00
eSun Parfumerie,https://tazz.ro/bucuresti/locatie/esun-parfumerie/1821/,10:00-16:30
Atelierul de tarte,https://tazz.ro/bucuresti/locatie/atelierul-de-tarte/2104/,10:00-21:30
Fabio pizza-Traian,https://tazz.ro/bucuresti/locatie/fabio-pizza-traian/2227/,11:00-21:00
GNC Live Well,https://tazz.ro/bucuresti/locatie/gnc-live-well/1700/,10:00-20:00
Crama de Vinuri Vrancene,https://tazz.ro/bucuresti/locatie/crama-de-vinuri-vrancene/1893/,10:00-21:00
Black El Zorab,https://tazz.ro/bucuresti/locatie/black-el-zorab/2322/,11:00-21:00
PlescavitaVan Militari,https://tazz.ro/bucuresti/locatie/plescavitavan-militari/2125/,10:00-20:30
Due Food,https://tazz.ro/bucuresti/locatie/due-food/2984/,10:00-21:00
Noodle Pack Afi Cotroceni,https://tazz.ro/bucuresti/locatie/noodle-pack-afi-cotroceni/3261/,10:00-21:45
All.Farm Market,https://tazz.ro/bucuresti/locatie/all-farm-market/2384/,08:30-17:00
Karta,https://tazz.ro/bucuresti/locatie/karta/3173/,11:00-22:00
Eat Etc Hermes,https://tazz.ro/bucuresti/locatie/eat-etc-hermes/2927/,10:30-16:00
Sara Green 13 Septembrie,https://tazz.ro/bucuresti/locatie/sara-green-13-septembrie/2779/,11:00-18:30
Dristor Kebap Delivery - Franceza,https://tazz.ro/bucuresti/locatie/dristor-kebap-delivery-franceza/1759/,10:00-22:00
Fabio pizza- Delfinului,https://tazz.ro/bucuresti/locatie/fabio-pizza-delfinului/2231/,11:00-21:00
Nicolai,https://tazz.ro/bucuresti/locatie/nicolai/1972/,10:00-21:00
Il Calcio by Mr.Val Pescariu,https://tazz.ro/bucuresti/locatie/il-calcio-by-mr-val-pescariu/3032/,11:00-22:00
Oro Toro AFI Cotroceni,https://tazz.ro/bucuresti/locatie/oro-toro-afi-cotroceni/1019/,10:30-21:00
Noodle Pack Drumul Taberelor,https://tazz.ro/bucuresti/locatie/noodle-pack-drumul-taberelor/3262/,10:00-19:45
Japanos Carnivale,https://tazz.ro/bucuresti/locatie/japanos-carnivale/1042/,11:00-22:00
Il Calcio by Mr. Val Romancierilor,https://tazz.ro/bucuresti/locatie/il-calcio-by-mr-val-romancierilor/3031/,11:00-22:00
Noodle Pack Baneasa,https://tazz.ro/bucuresti/locatie/noodle-pack-baneasa/2946/,10:00-21:30
Oro Toro Park Lake,https://tazz.ro/bucuresti/locatie/oro-toro-park-lake/1022/,10:30-21:00
Taco Bell Baneasa,https://tazz.ro/bucuresti/locatie/taco-bell-baneasa/1787/,11:00-20:00
Fabio pizza- Covasna,https://tazz.ro/bucuresti/locatie/fabio-pizza-covasna/2232/,10:00-21:00
My Meal,https://tazz.ro/bucuresti/locatie/my-meal/2983/,10:00-21:30
EVO Food,https://tazz.ro/bucuresti/locatie/evo-food/2234/,08:00-18:00
Sara Green Aviatiei,https://tazz.ro/bucuresti/locatie/sara-green-aviatiei/2432/,10:00-20:00
Il Calcio by Mr. Val Herastrau,https://tazz.ro/bucuresti/locatie/il-calcio-by-mr-val-herastrau/3030/,11:00-22:00
Fabio pizza- Opanez,https://tazz.ro/bucuresti/locatie/fabio-pizza-opanez/2230/,11:00-21:00
Fabio pizza-Vladoianu,https://tazz.ro/bucuresti/locatie/fabio-pizza-vladoianu/2213/,11:00-21:00
Fratellini,https://tazz.ro/bucuresti/locatie/fratellini/1737/,10:00-21:30
Gargantua Kiseleff,https://tazz.ro/bucuresti/locatie/gargantua-kiseleff/2264/,10:00-22:00
Divan Express,https://tazz.ro/bucuresti/locatie/divan-express/2240/,Deschide maine la 11:00
Kung Fu King Auchan Titan,https://tazz.ro/bucuresti/locatie/kung-fu-king-auchan-titan/3134/,11:00-20:30
The Journey-Pub,https://tazz.ro/bucuresti/locatie/the-journey-pub/2306/,10:00-22:00
Antoine,https://tazz.ro/bucuresti/locatie/antoine/3169/,11:00-20:00
Il Calcio by Mr. Val Clucerului,https://tazz.ro/bucuresti/locatie/il-calcio-by-mr-val-clucerului/2955/,11:00-22:00
Kung Fu King Titulescu,https://tazz.ro/bucuresti/locatie/kung-fu-king-titulescu/2266/,11:00-20:30
Pizzicato Icoanei,https://tazz.ro/bucuresti/locatie/pizzicato-icoanei/2810/,10:00-22:00
PlescavitaVan,https://tazz.ro/bucuresti/locatie/plescavitavan/2123/,10:00-21:30
Pizzicato Dorobanti,https://tazz.ro/bucuresti/locatie/pizzicato-dorobanti/2551/,10:00-22:00
Pizzicato Victoriei,https://tazz.ro/bucuresti/locatie/pizzicato-victoriei/2200/,10:00-22:00
Dristor Kebap Delivery - Colentina,https://tazz.ro/bucuresti/locatie/dristor-kebap-delivery-colentina/1763/,10:00-22:00
TAQUERIA,https://tazz.ro/bucuresti/locatie/taqueria/1145/,10:00-00:00
Chopstix Ready to Box Unirii,https://tazz.ro/bucuresti/locatie/chopstix-ready-to-box-unirii/1877/,11:00-20:00
Eat Etc Conect,https://tazz.ro/bucuresti/locatie/eat-etc-conect/3226/,10:30-16:00
La Bariera,https://tazz.ro/bucuresti/locatie/la-bariera/3072/,11:00-21:00
YoYo Burger,https://tazz.ro/bucuresti/locatie/yoyo-burger/2182/,10:30-22:00
Camizo,https://tazz.ro/bucuresti/locatie/camizo/1900/,10:30-21:30
Cofetaria Altfel,https://tazz.ro/bucuresti/locatie/cofetaria-altfel/1705/,10:00-16:00
Ciorbe si Placinte Lanariei,https://tazz.ro/bucuresti/locatie/ciorbe-si-placinte-lanariei/2090/,10:00-19:45
Giradiko,https://tazz.ro/bucuresti/locatie/giradiko/952/,11:00-22:00
Trattoria Verdi Victoriei,https://tazz.ro/bucuresti/locatie/trattoria-verdi-victoriei/921/,10:30-22:00
Sensiblu Racari 5,https://tazz.ro/bucuresti/locatie/sensiblu-racari-5/1663/,09:00-20:30
FULL KEBAB Berceni,https://tazz.ro/bucuresti/locatie/full-kebab-berceni/2675/,11:00-21:00
Sushi Home,https://tazz.ro/bucuresti/locatie/sushi-home/2928/,10:00-22:00
Provence Berceni,https://tazz.ro/bucuresti/locatie/provence-berceni/3277/,10:00-22:00
"Sensiblu Victoriei 155, bl. D1",https://tazz.ro/bucuresti/locatie/sensiblu-victoriei-155-bl-d1/1652/,09:00-20:30
Restaurant Dada,https://tazz.ro/bucuresti/locatie/restaurant-dada/1904/,10:00-21:45
Sensiblu Sebastian 88,https://tazz.ro/bucuresti/locatie/sensiblu-sebastian-88/1676/,09:00-20:30
Burgr Factory Iuliu Maniu,https://tazz.ro/bucuresti/locatie/burgr-factory-iuliu-maniu/3268/,10:00-22:00
South Burger Berceni,https://tazz.ro/bucuresti/locatie/south-burger-berceni/1000/,11:00-22:00
"Sensiblu Mihalache 106, Bl 84",https://tazz.ro/bucuresti/locatie/sensiblu-mihalache-106-bl-84/1650/,09:00-20:30
Sensiblu Maniu 140,https://tazz.ro/bucuresti/locatie/sensiblu-maniu-140/1686/,09:00-20:30
Sensiblu Unirii 1,https://tazz.ro/bucuresti/locatie/sensiblu-unirii-1/1665/,09:00-20:30
Fabrica de cafea,https://tazz.ro/bucuresti/locatie/fabrica-de-cafea/985/,Deschide maine la 09:00
Sensiblu Spl. Independentei 210B,https://tazz.ro/bucuresti/locatie/sensiblu-spl-independentei-210b/1678/,09:00-20:30
"Sensiblu Mosilor 286,bl 30A",https://tazz.ro/bucuresti/locatie/sensiblu-mosilor-286-bl-30a/1660/,09:00-19:30
Souk,https://tazz.ro/bucuresti/locatie/souk/2706/,10:00-22:00
Bucatarasul cel Dibaci,https://tazz.ro/bucuresti/locatie/bucatarasul-cel-dibaci/2883/,10:00-18:00
Trenta pizza Ghencea,https://tazz.ro/bucuresti/locatie/trenta-pizza-ghencea/2711/,11:00-22:45
Decathlon Berceni,https://tazz.ro/bucuresti/locatie/decathlon-berceni/3101/,09:30-21:30
Toan`s Baneasa,https://tazz.ro/bucuresti/locatie/toan-s-baneasa/2914/,10:00-22:00
Decathlon Obor,https://tazz.ro/bucuresti/locatie/decathlon-obor/3116/,10:00-21:30
Gyros Thessalonikis Titeica,https://tazz.ro/bucuresti/locatie/gyros-thessalonikis-titeica/2427/,10:00-22:00
La Finca By Alioli,https://tazz.ro/bucuresti/locatie/la-finca-by-alioli/1173/,11:00-21:30
Chiftelarie Dorobantilor,https://tazz.ro/bucuresti/locatie/chiftelarie-dorobantilor/3043/,11:00-21:00
Sensiblu Piata Amzei 10-22,https://tazz.ro/bucuresti/locatie/sensiblu-piata-amzei-10-22/1656/,09:00-19:30
33 Pizza,https://tazz.ro/bucuresti/locatie/33-pizza/1052/,11:00-21:45
Trattoria Verdi Unirii,https://tazz.ro/bucuresti/locatie/trattoria-verdi-unirii/920/,10:30-22:00
Trattoria Garibaldi,https://tazz.ro/bucuresti/locatie/trattoria-garibaldi/3164/,10:00-21:45
Opa!-Opa! Greek Food,https://tazz.ro/bucuresti/locatie/opa-opa-greek-food/3009/,10:30-17:30
Poli Apaca Bussiness center,https://tazz.ro/bucuresti/locatie/poli-apaca-bussiness-center/2189/,11:00-18:00
Burger Show Pipera,https://tazz.ro/bucuresti/locatie/burger-show-pipera/3375/,11:00-21:30
Stick it Chinese Chef,https://tazz.ro/bucuresti/locatie/stick-it-chinese-chef/3379/,10:30-15:45
La Rulota-Burgarie si altele Oituz,https://tazz.ro/bucuresti/locatie/la-rulota-burgarie-si-altele-oituz/2996/,11:00-21:00
Toan`s Veranda,https://tazz.ro/bucuresti/locatie/toan-s-veranda/2727/,10:00-22:00
Sensiblu Floreasca 246 B,https://tazz.ro/bucuresti/locatie/sensiblu-floreasca-246-b/1658/,10:00-19:30
Poli Auchan Drumul Taberelor,https://tazz.ro/bucuresti/locatie/poli-auchan-drumul-taberelor/3358/,10:00-22:00
Sensiblu Dealul Bisericii 67,https://tazz.ro/bucuresti/locatie/sensiblu-dealul-bisericii-67/1670/,09:00-20:30
Caru` cu Bere Delivery,https://tazz.ro/bucuresti/locatie/caru-cu-bere-delivery/3384/,11:00-22:00
Flondor Pizza,https://tazz.ro/bucuresti/locatie/flondor-pizza/3370/,10:30-22:00
Chopstix Promenada,https://tazz.ro/bucuresti/locatie/chopstix-promenada/3057/,11:00-20:00
Chopstix Ready to Box AFI Cotroceni,https://tazz.ro/bucuresti/locatie/chopstix-ready-to-box-afi-cotroceni/2236/,11:00-20:00
Taverna Covaci,https://tazz.ro/bucuresti/locatie/taverna-covaci/3200/,11:00-22:00
Sole D`Italia,https://tazz.ro/bucuresti/locatie/sole-d-italia/3250/,11:00-22:00
Birria,https://tazz.ro/bucuresti/locatie/birria/1163/,11:00-21:00
Fire Woks,https://tazz.ro/bucuresti/locatie/fire-woks/781/,10:00-22:00
Ciorbe si Placinte,https://tazz.ro/bucuresti/locatie/ciorbe-si-placinte/2787/,11:00-22:00
Soup Up! Park Lake,https://tazz.ro/bucuresti/locatie/soup-up-park-lake/2130/,11:00-19:15
Hello Donuts & 5 to Go Coffee Park Lake,https://tazz.ro/bucuresti/locatie/hello-donuts-5-to-go-coffee-park-lake/942/,10:30-21:00
Ciorbe si Placinte Mosilor,https://tazz.ro/bucuresti/locatie/ciorbe-si-placinte-mosilor/2091/,10:00-19:45
Trattoria Monza,https://tazz.ro/bucuresti/locatie/trattoria-monza/2422/,10:00-22:00
Burgatoriu,https://tazz.ro/bucuresti/locatie/burgatoriu/2826/,10:00-19:00
Gyros Thessalonikis Maniu,https://tazz.ro/bucuresti/locatie/gyros-thessalonikis-maniu/2458/,10:00-22:00
South Burger Unirii,https://tazz.ro/bucuresti/locatie/south-burger-unirii/999/,11:00-22:00
Porto Gallo Dorobanti,https://tazz.ro/bucuresti/locatie/porto-gallo-dorobanti/2736/,10:30-20:00
Papa de la È˜oni,https://tazz.ro/bucuresti/locatie/papa-de-la-soni/2782/,10:00-17:30
Springtime Floreasca,https://tazz.ro/bucuresti/locatie/springtime-floreasca/2293/,10:00-21:00
Porto Gallo Veranda,https://tazz.ro/bucuresti/locatie/porto-gallo-veranda/3248/,11:00-21:00
Chiftelarie Drumul Taberei,https://tazz.ro/bucuresti/locatie/chiftelarie-drumul-taberei/2511/,11:00-21:00
Springtime Gara de Nord,https://tazz.ro/bucuresti/locatie/springtime-gara-de-nord/3160/,10:00-21:30
Jad Sticks Delivery,https://tazz.ro/bucuresti/locatie/jad-sticks-delivery/792/,00:00-03:3011:00-00:00
Salad revolution,https://tazz.ro/bucuresti/locatie/salad-revolution/2115/,10:00-16:30
Pita Van,https://tazz.ro/bucuresti/locatie/pita-van/874/,11:00-22:00
Toan`s BNR,https://tazz.ro/bucuresti/locatie/toan-s-bnr/3412/,10:00-22:00
Hello Donuts,https://tazz.ro/bucuresti/locatie/hello-donuts/941/,10:30-21:00
Premium Angus Shop,https://tazz.ro/bucuresti/locatie/premium-angus-shop/1470/,00:00-00:00
La Mosu,https://tazz.ro/bucuresti/locatie/la-mosu/3259/,11:00-22:00
IndiVan Tineretului,https://tazz.ro/bucuresti/locatie/indivan-tineretului/1962/,11:00-20:00
No Name,https://tazz.ro/bucuresti/locatie/no-name/997/,10:00-21:30
Trenta Pizza Tineretului,https://tazz.ro/bucuresti/locatie/trenta-pizza-tineretului/2698/,11:00-22:45
Fomila,https://tazz.ro/bucuresti/locatie/fomila/3356/,10:00-22:00
Gyros Mania,https://tazz.ro/bucuresti/locatie/gyros-mania/3311/,10:00-19:30
Design Floral,https://tazz.ro/bucuresti/locatie/design-floral/3046/,08:15-20:15
The Soup Carousel,https://tazz.ro/bucuresti/locatie/the-soup-carousel/3405/,10:00-21:00
Springtime Victoriei,https://tazz.ro/bucuresti/locatie/springtime-victoriei/2447/,10:00-21:30
Sahin Kebap,https://tazz.ro/bucuresti/locatie/sahin-kebap/3273/,10:00-19:00
Cofetaria Casandra,https://tazz.ro/bucuresti/locatie/cofetaria-casandra/2543/,09:00-21:00
Chopstix Ready to Box Park Lake,https://tazz.ro/bucuresti/locatie/chopstix-ready-to-box-park-lake/1819/,11:00-20:00
Petritis Gyros,https://tazz.ro/bucuresti/locatie/petritis-gyros/3132/,10:00-22:00
Decathlon Iuliu Maniu,https://tazz.ro/bucuresti/locatie/decathlon-iuliu-maniu/3117/,09:30-21:30
Porto Gallo Pipera,https://tazz.ro/bucuresti/locatie/porto-gallo-pipera/3075/,10:00-20:30
Cuibul Randunelelor,https://tazz.ro/bucuresti/locatie/cuibul-randunelelor/3278/,11:00-22:00
Trattoria Verdi Aviatorilor,https://tazz.ro/bucuresti/locatie/trattoria-verdi-aviatorilor/923/,10:30-22:00
Oala lui Vio,https://tazz.ro/bucuresti/locatie/oala-lui-vio/3314/,08:00-22:00
Colt de Rai,https://tazz.ro/bucuresti/locatie/colt-de-rai/3260/,11:00-22:00
Coffee Up,https://tazz.ro/bucuresti/locatie/coffee-up/877/,10:00-19:00
Cetatea din Alep,https://tazz.ro/bucuresti/locatie/cetatea-din-alep/3217/,10:30-21:30
Ciorbe si placinte Iancu de Hunedoara,https://tazz.ro/bucuresti/locatie/ciorbe-si-placinte-iancu-de-hunedoara/940/,10:00-19:45
